PassiveSkillGraphId,Name,Datafile Parsing Index
6,Twin Terrors,0
529,Poisonous Fangs,1
544,Surveillance,2
570,Dazzling Strikes,3
861,Aggressive Bastion,4
1006,Potency of Will,5
1325,Golem's Blood,6
1340,Rampart,7
1382,Spirit Void,8
1405,From the Shadows,9
1568,Fatal Blade,10
2225,Eagle Eye,11
2550,Arsonist,12
2715,Quickstep,13
2959,Season of Ice,14
3309,Fleetfoot,15
3452,Foresight,16
4177,Spiritual Aid,17
4207,Window of Opportunity,18
4481,Forces of Nature,19
4833,Vigour,20
4854,Asylum,21
4940,Cleaving,22
5126,Spinecruncher,23
5289,Battle Rouse,24
5430,Magmatic Strikes,25
5456,Might,26
5823,Coordination,27
6233,Blast Waves,28
6237,Precision,29
6289,Bloodless,30
6615,Arcing Blows,31
6770,Arcane Guarding,32
6799,Charisma,33
6967,Safeguard,34
7069,Split Shot,35
7085,Weapon Artistry,36
7136,Master Sapper,37
7263,Swift Venoms,38
7440,Harvester of Foes,39
7555,Crackling Speed,40
7688,Enduring Bond,41
7918,Enigmatic Defence,42
8001,Clever Thief,43
8135,Practical Application,44
8458,Longshot,45
8833,Heart of Ice,46
8920,Backstabbing,47
9015,Dire Torment,48
9055,Volatile Mines,49
9194,Merciless Skewering,50
9261,Disciple of the Forbidden,51
9432,Mental Rapidity,52
9535,Hunter's Gambit,53
9567,Light Eater,54
9788,Nimbleness,55
9864,Growth and Decay,56
10016,Executioner,57
10115,Prodigal Perfection,58
10153,Physique,59
10511,Tolerance,60
10542,Spiked Bulwark,61
10835,Dreamer,62
11420,Arcanist's Dominion,63
11645,Breath of Lightning,64
11730,Endurance,65
11784,Vampirism,66
11820,Anointed Flesh,67
11924,Breath of Flames,68
12143,Influence,69
12702,Path of the Warrior,70
12795,Versatility,71
12809,Berserking,72
12878,Retaliation,73
13164,Divine Judgement,74
13922,Steadfast,75
14001,Unfaltering,76
14606,Butchery,77
14665,Divine Wrath,78
14813,Revelry,79
15027,Beef,80
15046,Redemption,81
15085,Ambidexterity,82
15290,Watchtowers,83
15344,Freedom of Movement,84
15400,Skittering Runes,85
15437,Deflection,86
15614,Claws of the Hawk,87
15711,Blast Radius,88
15842,One With Nature,89
15852,Ethereal Feast,90
16236,Toxic Strikes,91
16243,Fusillade,92
16703,Skull Cracking,93
17171,Flash Freeze,94
17608,Silent Steps,95
18025,Hard Knocks,96
18174,Mystic Bulwark,97
18703,Graceful Assault,98
18707,One with Evil,99
18769,Written in Blood,100
18865,Melding,101
19069,Thick Skin,102
19103,Righteous Army,103
19144,Sentinel,104
19506,Path of the Hunter,105
19730,Assured Strike,106
19858,Herbalism,107
19897,Death Attunement,108
20528,Instability,109
20832,Sanctuary,110
20835,Brinkmanship,111
21228,Piercing Shots,112
21297,High Explosives,113
21330,Quick Recovery,114
21389,Runesmith,115
21413,Combat Stamina,116
21435,Cloth and Chain,117
21460,Breath of Rime,118
21602,Destructive Apparatus,119
21634,Arcane Chemistry,120
21958,Cruel Preparation,121
21973,Decay Ward,122
22356,Hematophagy,123
22535,Whispers of Doom,124
22702,Serpent Stance,125
22972,Wandslinger,126
23038,Slaughter,127
23066,Savagery,128
23690,Essence Infusion,129
24050,Coldhearted Calculation,130
24067,Instinct,131
24133,Survivalist,132
24256,Dynamo,133
24324,Explosive Impact,134
24362,Deep Thoughts,135
24383,Warrior's Blood,136
24721,Ribcage Crusher,137
24858,Harpooner,138
25058,Blood Siphon,139
25178,Primal Spirit,140
25367,Blade Master,141
25409,Indomitable Army,142
25411,Infused,143
25439,Undertaker,144
25456,Dervish,145
25738,Mark the Prey,146
25970,Acrimony,147
26023,Savage Wounds,148
26096,Hatchet Master,149
26294,Bloodletting,150
26557,Static Blows,151
26564,Vanquisher,152
26620,Corruption,153
26866,Sanctity,154
26960,Forethought,155
27119,Tribal Fury,156
27137,Sanctum of Thought,157
27163,Arcane Will,158
27190,Overprepared,159
27203,Heart and Soul,160
27301,Martial Experience,161
27308,Gravepact,162
27611,Lord of the Dead,163
27788,Blood Drinker,164
27929,Deep Wisdom,165
28503,Life Raker,166
28754,Assassination,167
28878,Relentless,168
29049,Holy Fire,169
29381,Ravenous Horde,170
29861,Explosive Runes,171
30160,Fending,172
30225,Lightning Walker,173
30302,Hearty,174
30439,Lava Lash,175
30471,True Strike,176
30693,Divine Fervour,177
31033,Robust,178
31257,Natural Authority,179
31359,Fatal Toxins,180
31508,Aspect of the Lynx,181
31513,Adjacent Animosity,182
31585,Careful Conservationist,183
32059,Titanic Impacts,184
32176,Soul Thief,185
32227,Adder's Touch,186
32245,Expertise,187
32345,Alacrity,188
32455,Storm Weaver,189
32932,Sovereignty,190
33082,Razor's Edge,191
33287,Juggernaut,192
33435,Holy Dominion,193
33545,Harrier,194
33582,Forceful Skewering,195
33718,Champion of the Cause,196
33725,Swagger,197
33777,Devastating Devices,198
33903,Will of Blades,199
34009,Master of the Arena,200
34173,Overcharge,201
34506,Golem Commander,202
34591,Malicious Intent,203
34601,Proficiency,204
34661,Fire Walker,205
34666,Destroyer,206
34973,Measured Fury,207
35233,Discord Artisan,208
35436,Kinetic Impacts,209
35663,Strong Arm,210
35685,Fearsome Force,211
35894,Trickery,212
35958,Faith and Steel,213
36281,Primeval Force,214
36490,Flaying,215
36687,Avatar of the Hunt,216
36736,Burning Brutality,217
36859,Steelwood Stance,218
36874,Wisdom of the Glade,219
36915,Sacrifice,220
36949,Devotion,221
37078,Path of the Savant,222
37326,Stamina,223
37403,Infused Flesh,224
37504,Intuition,225
37647,Dismembering,226
38246,Presage,227
38516,Righteous Decree,228
38849,Searing Heat,229
38922,Goliath,230
39530,Vitality Void,231
39657,Pain Forger,232
39743,Dark Arts,233
39761,Counterweight,234
39986,Hex Master,235
40645,Bone Breaker,236
40743,Crystal Skin,237
41119,Lethality,238
41137,Field Medicine,239
41420,Natural Remedies,240
41472,Discipline and Training,241
41476,Elder Power,242
41595,Marked for Death,243
41989,Resourcefulness,244
42009,Soul of Steel,245
42041,Profane Chemistry,246
42443,Frenetic,247
42649,Snowforged,248
42686,Elemental Focus,249
42720,Heavy Draw,250
42795,Arcane Focus,251
42804,Mind Drinker,252
42917,Whirling Barrier,253
43385,Winter Spirit,254
43689,Spiritual Command,255
44102,Efficient Explosives,256
44103,Reflexes,257
44207,Testudo,258
44347,Divine Fury,259
44562,Shaman's Dominion,260
44788,Inspiring Bond,261
44824,Mysticism,262
44955,Frost Walker,263
44988,Wasting,264
45067,Thrill Killer,265
45317,"Ash, Frost and Storm",266
45329,Trick Shot,267
45608,Successive Detonations,268
45803,Veteran Soldier,269
46408,Fangs of the Viper,270
46471,Powerful Bond,271
46842,Arcane Potency,272
46904,Arcane Sanctuary,273
46965,Saboteur,274
47065,Master of Blades,275
47306,Throatseeker,276
47471,Overcharged,277
47484,Depth Perception,278
47743,Farsight,279
48298,Insightfulness,280
48438,Bravery,281
48556,Heart of Darkness,282
48614,Fervour,283
48698,Void Barrier,284
48807,Art of the Gladiator,285
48823,Deadly Draw,286
49254,Retribution,287
49318,Wrecking Ball,288
